image_id,status,reason,logged_at_utc
LT05_136045_19880212,ok,length_m=74085.8 rss_mb=583 peak_mb=895,2026-08-09T06:32:14.022754+00:00
"LT05_135045_19880221,LT05_135046_19880221",ok,length_m=50347.7 rss_mb=791 peak_mb=975,2026-08-09T06:32:36.804645+00:00
LT05_136045_19890318,ok,length_m=90679.4 rss_mb=590 peak_mb=975,2026-08-09T06:33:08.267519+00:00
LT05_136045_19891113,ok,length_m=80548.5 rss_mb=598 peak_mb=975,2026-08-09T06:33:29.661110+00:00
"LT05_135045_19891122,LT05_135046_19891122",ok,length_m=49994.1 rss_mb=598 peak_mb=975,2026-08-09T06:34:02.001182+00:00
"LT05_135045_19910128,LT05_135046_19910128",ok,length_m=54847.3 rss_mb=598 peak_mb=975,2026-08-09T06:34:28.405783+00:00
"LT05_136045_19910204,LT05_136046_19910204",ok,length_m=74129.0 rss_mb=599 peak_mb=975,2026-08-09T06:34:54.764439+00:00
LT05_136045_19911119,ok,length_m=78170.1 rss_mb=601 peak_mb=975,2026-08-09T06:35:28.260451+00:00
"LT05_135045_19920115,LT05_135046_19920115",ok,length_m=44951.6 rss_mb=601 peak_mb=975,2026-08-09T06:35:48.960466+00:00
"LT05_135045_19930202,LT05_135046_19930202",ok,length_m=51681.5 rss_mb=601 peak_mb=975,2026-08-09T06:36:18.360782+00:00
LT05_136045_19930225,ok,length_m=84688.7 rss_mb=602 peak_mb=975,2026-08-09T06:36:42.795803+00:00
LT05_136045_19931124,ok,length_m=84895.4 rss_mb=808 peak_mb=997,2026-08-09T06:37:07.432686+00:00
"LT05_135045_19931203,LT05_135046_19931203",ok,length_m=55773.1 rss_mb=808 peak_mb=997,2026-08-09T06:37:26.992073+00:00
"LT05_135045_19941120,LT05_135046_19941120",ok,length_m=57301.8 rss_mb=602 peak_mb=997,2026-08-09T06:37:54.564791+00:00
"LT05_136045_19950319,LT05_136046_19950319",ok,length_m=82690.8 rss_mb=602 peak_mb=997,2026-08-09T06:38:19.567940+00:00
LT05_136045_19951216,ok,length_m=92478.1 rss_mb=602 peak_mb=997,2026-08-09T06:38:46.481380+00:00
LT05_136045_19970119,ok,length_m=67204.1 rss_mb=603 peak_mb=997,2026-08-09T06:39:15.910849+00:00
"LT05_136045_19980106,LT05_136046_19980106",ok,length_m=74000.0 rss_mb=602 peak_mb=997,2026-08-09T06:39:38.319672+00:00
"LT05_135045_19981115,LT05_135046_19981115",ok,length_m=50046.9 rss_mb=602 peak_mb=997,2026-08-09T06:40:01.503670+00:00
