dry_year,season_label,product_type,sensor,n_dates,dates,timestamps_utc,cloud_pct,achieved_coverage_pct,image_ids,marginal_gains,chosen_rank,review_status,note,reviewed_at_utc
1985,1984-1985,none,,0,,,,0.0,,,,rejected,no L4/L5 archive coverage over AOI this season,2026-07-12T08:42:50.865354+00:00
1986,1985-1986,none,,0,,,,0.0,,,,rejected,no L4/L5 archive coverage over AOI this season,2026-07-12T08:43:16.441523+00:00
1987,1986-1987,none,,0,,,,0.0,,,,rejected,no L4/L5 archive coverage over AOI this season,2026-07-12T08:43:49.623606+00:00
1988,1987-1988,composite,L5,2,1988-02-12;1988-02-21,1988-02-12T03:48:36;1988-02-21T03:42:33,0.0,100.0,"LT05_136045_19880212,LT05_135045_19880221,LT05_135046_19880221",93.2421;6.7478,,approved,,2026-07-12T08:49:31.967598+00:00
1989,1988-1989,single,L5,1,1989-03-18,1989-03-18T03:48:07,0.031673851554821,99.92103704678556,LT05_136045_19890318,99.9210,0.0,approved,,2026-07-12T09:10:30.561857+00:00
1990,1989-1990,composite,L5,2,1989-11-13;1989-11-22,1989-11-13T03:43:19;1989-11-22T03:36:49,0.0,100.0,"LT05_136045_19891113,LT05_135045_19891122,LT05_135046_19891122",90.2941;9.6921,,approved,,2026-07-12T09:35:05.209430+00:00
1991,1990-1991,partial,L5,2,1991-02-04;1991-01-28,1991-02-04T03:39:33;1991-01-28T03:33:25,23.92406738399294,92.55631762593282,"LT05_136045_19910204,LT05_136046_19910204,LT05_135045_19910128,LT05_135046_19910128",72.9733;19.5667,,approved_override,no coverage in the north tip,2026-07-12T09:56:28.846188+00:00
1992,1991-1992,composite,L5,2,1991-11-19;1992-01-15,1991-11-19T03:43:14;1992-01-15T03:37:06,0.0655109675635931,99.94300509697275,"LT05_136045_19911119,LT05_135045_19920115,LT05_135046_19920115",87.7805;12.1464,,approved,,2026-07-12T09:58:37.318800+00:00
1993,1992-1993,composite,L5,2,1993-02-25;1993-02-02,1993-02-25T03:41:00;1993-02-02T03:34:41,0.0,99.99970392258167,"LT05_136045_19930225,LT05_135045_19930202,LT05_135046_19930202",92.4409;7.5494,,approved,,2026-07-12T10:00:04.549165+00:00
1994,1993-1994,composite,L5,2,1993-11-24;1993-12-03,1993-11-24T03:40:57;1993-12-03T03:34:44,0.0017771281928982,99.99985196129084,"LT05_136045_19931124,LT05_135045_19931203,LT05_135046_19931203",92.5216;7.4672,,approved,,2026-07-12T10:01:02.517062+00:00
1995,1994-1995,composite,L5,2,1995-03-19;1994-11-20,1995-03-19T03:29:06;1994-11-20T03:27:16,0.0035937237517235,100.0,"LT05_136045_19950319,LT05_136046_19950319,LT05_135045_19941120,LT05_135046_19941120",91.5049;8.4838,,approved,,2026-07-12T10:01:37.525813+00:00
1996,1995-1996,single,L5,1,1995-12-16,1995-12-16T03:20:09,0.1498803523558958,100.0,LT05_136045_19951216,100.0000,1.0,approved_override,,2026-07-12T10:11:52.071969+00:00
1997,1996-1997,single,L5,1,1997-01-19,1997-01-19T03:42:54,1.8158476464390243,100.0,LT05_136045_19970119,100.0000,0.0,approved,,2026-07-12T10:14:40.570231+00:00
1998,1997-1998,single,L5,1,1998-01-06,1998-01-06T03:54:19,1.1120853069155536,99.63644140290847,"LT05_136045_19980106,LT05_136046_19980106",99.6364,1.0,approved_override,,2026-07-12T10:18:20.484900+00:00
1999,1998-1999,composite,L5,2,1998-12-08;1998-11-15,1998-12-08T03:57:59;1998-11-15T03:51:53,0.0,100.0,"LT05_136045_19981208,LT05_136046_19981208,LT05_135045_19981115,LT05_135046_19981115",97.6130;2.3783,,approved_override,,2026-07-12T10:22:35.341086+00:00
2000,1999-2000,single,L5,1,2000-02-29,2000-02-29T03:52:24,4.040459021685075,100.0,"LT05_136045_20000229,LT05_136046_20000229",100.0000,0.0,approved,,2026-07-12T10:25:55.722957+00:00
2001,2000-2001,composite,"L5,L7",2,2000-11-11;2000-11-12,2000-11-11T03:57:56;2000-11-12T04:03:11,0.0,100.0,"LT05_136045_20001111,LT05_136046_20001111,LE07_135045_20001112,LE07_135046_20001112",93.6698;6.3197,,approved,,2026-07-12T10:28:06.503811+00:00
2002,2001-2002,composite,L7,2,2002-02-26;2002-02-19,2002-02-26T04:07:59;2002-02-19T04:01:40,0.0,100.0,"LE07_136045_20020226,LE07_135045_20020219,LE07_135046_20020219",88.2608;11.7241,,approved,,2026-07-12T10:28:56.942469+00:00
2003,2002-2003,composite,L7,2,2003-01-28;2003-02-22,2003-01-28T04:07:32;2003-02-22T04:01:31,0.0,99.995410800016,"LE07_136045_20030128,LE07_136046_20030128,LE07_135045_20030222,LE07_135046_20030222",93.6813;6.3062,,approved,,2026-07-12T10:29:51.014677+00:00
2004,2003-2004,single,L5,1,2004-03-27,2004-03-27T03:58:08,2.6890662639490537,100.0,"LT05_136045_20040327,LT05_136046_20040327",100.0000,0.0,approved,,2026-07-12T10:31:00.468209+00:00
2005,2004-2005,composite,"L5,L7",2,2005-02-10;2004-11-07,2005-02-10T04:05:30;2004-11-07T04:01:46,0.0118343595413678,99.55617994993332,"LT05_136045_20050210,LT05_136046_20050210,LE07_135045_20041107,LE07_135046_20041107",97.2593;2.3023,,approved,,2026-07-12T10:33:33.995969+00:00
2006,2005-2006,single,L5,1,2005-11-25,2005-11-25T04:07:40,0.0,100.0,"LT05_136045_20051125,LT05_136046_20051125",100.0000,0.0,approved,,2026-07-12T10:34:18.203268+00:00
2007,2006-2007,composite,L5,2,2006-11-28;2006-12-23,2006-11-28T04:13:35;2006-12-23T04:07:58,0.0,100.0,"LT05_136045_20061128,LT05_135046_20061223",88.0059;11.9788,,approved,,2026-07-12T10:36:22.766447+00:00
2008,2007-2008,composite,L5,2,2008-03-06;2008-02-28,2008-03-06T04:09:15;2008-02-28T04:03:12,0.0017084679645171,100.0,"LT05_136045_20080306,LT05_136046_20080306,LT05_135045_20080228,LT05_135046_20080228",96.2443;3.7470,,approved,,2026-07-12T10:37:46.412882+00:00
2009,2008-2009,single,L5,1,2008-11-17,2008-11-17T04:02:22,0.0,100.0,"LT05_136045_20081117,LT05_136046_20081117",100.0000,0.0,approved,,2026-07-12T10:40:14.247004+00:00
2010,2009-2010,composite,L5,2,2010-01-23;2009-11-13,2010-01-23T04:09:52;2009-11-13T04:03:11,0.0,99.99970392258167,"LT05_136045_20100123,LT05_136046_20100123,LT05_135045_20091113,LT05_135046_20091113",95.1356;4.8549,,approved,,2026-07-12T10:41:50.295740+00:00
2011,2010-2011,composite,L5,2,2010-11-23;2011-02-04,2010-11-23T04:08:50;2011-02-04T04:02:49,0.0,100.0,"LT05_136045_20101123,LT05_135045_20110204,LT05_135046_20110204",96.2361;3.7534,,approved,,2026-07-12T10:42:53.629181+00:00
2012,2011-2012,single,L5,1,2011-11-10,2011-11-10T04:06:39,3.382988665214409,100.0,"LT05_136045_20111110,LT05_136046_20111110",100.0000,0.0,approved,,2026-07-12T10:44:27.793074+00:00
2013,2012-2013,composite,L7,4,2012-12-06;2013-01-23;2012-11-29;2012-12-15,2012-12-06T04:15:01;2013-01-23T04:15:13;2012-11-29T04:08:50;2012-12-15T04:08:56,0.0024008378641694,99.99881569032672,"LE07_136045_20121206,LE07_136046_20121206,LE07_136045_20130123,LE07_136046_20130123,LE07_135045_20121129,LE07_135046_20121129,LE07_135045_20121215,LE07_135046_20121215",68.4954;28.7343;1.9259;0.8536,,approved,,2026-07-12T10:46:06.851081+00:00
2014,2013-2014,composite,L8,2,2014-01-18;2013-11-08,2014-01-18T04:20:11;2013-11-08T04:14:36,0.1359736879397655,99.87579552301337,"LC08_136045_20140118,LC08_136046_20140118,LC08_135045_20131108,LC08_135046_20131108",93.3770;6.4844,,approved,,2026-07-12T10:49:03.501303+00:00
2015,2014-2015,composite,L8,2,2014-12-20;2014-12-13,2014-12-20T04:19:09;2014-12-13T04:12:56,0.2695459004192604,100.0,"LC08_136045_20141220,LC08_136046_20141220,LC08_135045_20141213,LC08_135046_20141213",96.8234;3.1661,,approved,,2026-07-12T10:51:50.649736+00:00
2016,2015-2016,composite,L8,2,2016-01-08;2015-11-30,2016-01-08T04:19:05;2015-11-30T04:13:00,0.0,100.0,"LC08_136045_20160108,LC08_136046_20160108,LC08_135045_20151130,LC08_135046_20151130",95.4201;4.5692,,approved,,2026-07-12T10:54:51.100704+00:00
2017,2016-2017,single,S2,1,2016-11-20,2016-11-20T04:32:37,0.0,100.0,"20161120T042052_20161120T042434_T46QCJ,20161120T042052_20161120T042434_T46QDH,20161120T042052_20161120T042434_T46QDJ",100.0000,0.0,approved,,2026-07-12T10:56:52.612160+00:00
2018,2017-2018,single,S2,1,2017-11-20,2017-11-20T04:32:26,0.0,100.0,"20171120T042049_20171120T042828_T46QCJ,20171120T042049_20171120T042828_T46QDJ",100.0000,0.0,approved,,2026-07-12T11:00:07.478519+00:00
2019,2018-2019,single,S2,1,2018-11-30,2018-11-30T04:32:30,0.0,100.0,"20181130T042121_20181130T042551_T46QCJ,20181130T042121_20181130T042551_T46QDH,20181130T042121_20181130T042551_T46QDJ",100.0000,0.0,approved,,2026-07-12T11:05:41.299866+00:00
2020,2019-2020,single,S2,1,2019-11-05,2019-11-05T04:32:41,0.0,100.0,"20191105T041941_20191105T042414_T46QCJ,20191105T041941_20191105T042414_T46QDH,20191105T041941_20191105T042414_T46QDJ",100.0000,0.0,approved,,2026-07-12T11:20:39.027297+00:00
2021,2020-2021,single,S2,1,2020-11-09,2020-11-09T04:32:43,0.0,100.0,"20201109T042011_20201109T042039_T46QCJ,20201109T042011_20201109T042039_T46QDH,20201109T042011_20201109T042039_T46QDJ",100.0000,0.0,approved,,2026-07-12T11:27:47.708555+00:00
2022,2021-2022,single,L9,1,2021-11-19,2021-11-19T04:17:43,0.0,100.0,"LC09_136045_20211119,LC09_136046_20211119",100.0000,0.0,approved,,2026-07-12T11:54:41.079794+00:00
2023,2022-2023,single,S2,1,2022-11-14,2022-11-14T04:32:38,0.0,100.0,"20221114T042029_20221114T043106_T46QCJ,20221114T042029_20221114T043106_T46QDH,20221114T042029_20221114T043106_T46QDJ",100.0000,0.0,approved,,2026-07-13T09:45:42.178635+00:00
2024,2023-2024,single,S2,1,2023-11-09,2023-11-09T04:32:40,0.0,100.0,"20231109T042009_20231109T043050_T46QCJ,20231109T042009_20231109T043050_T46QDH,20231109T042009_20231109T043050_T46QDJ",100.0000,0.0,approved,,2026-07-13T09:54:13.636803+00:00
2025,2024-2025,single,S2,1,2024-11-23,2024-11-23T04:32:39,0.0,100.0,"20241123T042019_20241123T043006_T46QCJ,20241123T042019_20241123T043006_T46QDH,20241123T042019_20241123T043006_T46QDJ",100.0000,0.0,approved,,2026-07-13T10:02:33.576331+00:00
